step,flux_to_10,flux_to_14,dissipation,entropy,m2,mass_error
2.000000000000000000e+01,1.430681887931120878e-11,1.041583719810614060e-04,4.310490463911521353e+00,1.844303011680259896e+00,1.860941286657845362e-01,2.220446049250313081e-16
2.100000000000000000e+01,1.494272696300263738e-11,9.782681199487637503e-05,4.689731797979368899e+00,1.845792714112628019e+00,1.859118991507296148e-01,0.000000000000000000e+00
2.200000000000000000e+01,1.558171954642231310e-11,8.995072356851453016e-05,5.081345865379556237e+00,1.847301360155070737e+00,1.857220244130955433e-01,1.110223024625156540e-16
2.300000000000000000e+01,1.622561531704664529e-11,8.045906216034566071e-05,5.484940128251747815e+00,1.848819105141938035e+00,1.855245422548965628e-01,0.000000000000000000e+00
2.400000000000000000e+01,1.687648734221683527e-11,6.927968324742819718e-05,5.900130563149379448e+00,1.850326255139561837e+00,1.853194885595020047e-01,0.000000000000000000e+00
2.500000000000000000e+01,1.753668940807977434e-11,5.633924870637978114e-05,6.326541490971732351e+00,1.851874070254988958e+00,1.851017095650113742e-01,0.000000000000000000e+00
2.600000000000000000e+01,1.820862800246540272e-11,4.465345607085255940e-05,6.763805690952339411e+00,1.854027709596775431e+00,1.848519260499406625e-01,0.000000000000000000e+00
2.700000000000000000e+01,1.889428368527391021e-11,4.635956084607515597e-05,7.211565068325649364e+00,1.856232283205512257e+00,1.845932859573760632e-01,0.000000000000000000e+00
2.800000000000000000e+01,1.959809736949832155e-11,4.807558058265620678e-05,7.669468181340420188e+00,1.858486949549217560e+00,1.843257848705969204e-01,0.000000000000000000e+00
2.900000000000000000e+01,2.032380864987838228e-11,4.980211099753824327e-05,8.137171283725461279e+00,1.860790895889187446e+00,1.840494156552474059e-01,0.000000000000000000e+00
3.000000000000000000e+01,2.107557582035202464e-11,5.153974329702253992e-05,8.614338169498894970e+00,1.863143333813591429e+00,1.837641685954800874e-01,0.000000000000000000e+00
3.100000000000000000e+01,2.185800656786412583e-11,5.328906425035046662e-05,9.100640020635513139e+00,1.865543494981634076e+00,1.834700315445833285e-01,2.220446049250313081e-16
3.200000000000000000e+01,2.267618745546879867e-11,5.505065624060056682e-05,9.595755257535985905e+00,1.867990627036291817e+00,1.831669900917064775e-01,2.220446049250313081e-16
3.300000000000000000e+01,2.353571348065977178e-11,5.682509729216049228e-05,1.009936939224280827e+01,1.870483989648811463e+00,1.828550277463953933e-01,0.000000000000000000e+00
3.400000000000000000e+01,2.444271760733111447e-11,5.861296107400577958e-05,1.061117488434857847e+01,1.873022850662351857e+00,1.825341261427639861e-01,3.330669073875469621e-16
3.500000000000000000e+01,2.540390016958380000e-11,6.041481687796268745e-05,1.113087099954316095e+01,1.875606482305643086e+00,1.822042652652412775e-01,1.110223024625156540e-16
3.600000000000000000e+01,2.642655804548328823e-11,6.223122957107647137e-05,1.165816367074729598e+01,1.878234157450371145e+00,1.818654236979603545e-01,0.000000000000000000e+00
3.700000000000000000e+01,2.751861349880448815e-11,6.406275952114813435e-05,1.219276536178082360e+01,1.880905145888397190e+00,1.815175788999913165e-01,2.220446049250313081e-16
3.800000000000000000e+01,2.868864258674126243e-11,6.590996249444396353e-05,1.273439493351485119e+01,1.883618710606836943e+00,1.811607075087582341e-01,1.110223024625156540e-16
3.900000000000000000e+01,2.994590303147809727e-11,6.777338952452044364e-05,1.328277751245781957e+01,1.886374104040675403e+00,1.807947856741339843e-01,2.220446049250313081e-16
4.000000000000000000e+01,3.130036145339519974e-11,6.965358675104523065e-05,1.383764436172648438e+01,1.889170564283929599e+00,1.804197894258675050e-01,1.110223024625156540e-16
4.100000000000000000e+01,3.276271986347956389e-11,7.155109522743081940e-05,1.439873275435348887e+01,1.892007311241466816e+00,1.800356950771656861e-01,0.000000000000000000e+00
4.200000000000000000e+01,3.434444131222189340e-11,7.346645069603309724e-05,1.496578584888419350e+01,1.894883542704518087e+00,1.796424796674339353e-01,1.110223024625156540e-16
4.300000000000000000e+01,3.605777459187129367e-11,7.540018332960089298e-05,1.553855256721619504e+01,1.897798430333667241e+00,1.792401214473674509e-01,0.000000000000000000e+00
4.400000000000000000e+01,3.791577788837855731e-11,7.735281743759600667e-05,1.611678747463592387e+01,1.900751115533715119e+00,1.788286004097837667e-01,2.220446049250313081e-16
4.500000000000000000e+01,3.993234127866799651e-11,7.932487113593598505e-05,1.670025066200731700e+01,1.903740705205317241e+00,1.784078988698003521e-01,4.440892098500626162e-16
4.600000000000000000e+01,4.212220796802335651e-11,8.131685597864501220e-05,1.728870763006869637e+01,1.906766267358687150e+00,1.779780020981738820e-01,2.220446049250313081e-16
4.700000000000000000e+01,4.450099416134084831e-11,8.332927654982941103e-05,1.788192917579464236e+01,1.909826826574996028e+00,1.775388990118567101e-01,1.110223024625156540e-16
4.800000000000000000e+01,4.708520746078498763e-11,8.536263001432921262e-05,1.847969128078040413e+01,1.912921359301340773e+00,1.770905829260566167e-01,0.000000000000000000e+00
4.900000000000000000e+01,4.989226368096735586e-11,8.741740562532836298e-05,1.908177500160770634e+01,1.916048788965351690e+00,1.766330523723396440e-01,0.000000000000000000e+00
5.000000000000000000e+01,5.294050197115239197e-11,8.949408418714246711e-05,1.968796636215090956e+01,1.919207980895679899e+00,1.761663119875771233e-01,2.220446049250313081e-16
5.100000000000000000e+01,5.624919813217185099e-11,9.159313747133962535e-05,2.029805624778418149e+01,1.922397737034704512e+00,1.756903734787974569e-01,0.000000000000000000e+00
5.200000000000000000e+01,5.983857601369687238e-11,9.371502758428635628e-05,2.091184030145045725e+01,1.925616790429921066e+00,1.752052566692872959e-01,0.000000000000000000e+00
5.300000000000000000e+01,6.372981687527768164e-11,9.586020628415474986e-05,2.152911882155449419e+01,1.928863799490514674e+00,1.747109906315620353e-01,2.220446049250313081e-16
5.400000000000000000e+01,6.794506659211523428e-11,9.802911424536945076e-05,2.214969666164268247e+01,1.932137341995728619e+00,1.742076149131192853e-01,2.220446049250313081e-16
5.500000000000000000e+01,7.250744058388400722e-11,1.002221802684243371e-04,2.277338313183363283e+01,1.935435908841652397e+00,1.736951808611787162e-01,0.000000000000000000e+00
5.600000000000000000e+01,7.744102634208819755e-11,1.024398204329510817e-04,2.339999190196416734e+01,1.938757897513175177e+00,1.731737530529109670e-01,2.220446049250313081e-16
5.700000000000000000e+01,8.277088342841852822e-11,1.046824371918848656e-04,2.402934090641645426e+01,1.942101605267861242e+00,1.726434108379509280e-01,0.000000000000000000e+00
5.800000000000000000e+01,8.852304081339403732e-11,1.069504184045369532e-04,2.466125225059303361e+01,1.945465222018653240e+00,1.721042500002933628e-01,1.110223024625156540e-16
5.900000000000000000e+01,9.472449142124916973e-11,1.092441363063635618e-04,2.529555211900740730e+01,1.948846822902367659e+00,1.715563845469544324e-01,0.000000000000000000e+00
6.000000000000000000e+01,1.014031837435753506e-10,1.115639464132023805e-04,2.593207068495877010e+01,1.952244360521118827e+00,1.709999486310712913e-01,0.000000000000000000e+00
6.100000000000000000e+01,1.085880103806836381e-10,1.139101863577478085e-04,2.657064202176099954e+01,1.955655656843950929e+00,1.704350986173865379e-01,2.220446049250313081e-16
